Node,Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
106289641_0  ,106289641_0  ,1 ,0.42 ,23.13 ,11.20 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,23.13 ,11.20 ,0.00 ,1 ,
106289642_1  ,106289642_1  ,1 ,0.42 ,22.49 ,10.89 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,22.49 ,10.89 ,0.00 ,1 ,
106289647_2  ,106289647_2  ,1 ,0.42 ,22.54 ,10.92 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,22.54 ,10.92 ,0.00 ,1 ,
106297261_3  ,106297261_3  ,3 ,0.42 ,36.13 ,17.50 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,36.13 ,17.50 ,0.00 ,1 ,
106297267_0  ,106297267_0  ,1 ,0.42 ,7.18  ,3.48  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,7.18  ,3.48  ,0.00 ,1 ,
106693710_1  ,106693710_1  ,1 ,0.42 ,27.18 ,13.16 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,27.18 ,13.16 ,0.00 ,1 ,
106693723_0  ,106693723_0  ,1 ,0.42 ,22.89 ,11.09 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,22.89 ,11.09 ,0.00 ,1 ,
106693726_0  ,106693726_0  ,1 ,0.42 ,9.21  ,4.46  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,9.21  ,4.46  ,0.00 ,1 ,
106693735_3  ,106693735_3  ,1 ,0.42 ,25.09 ,12.15 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,25.09 ,12.15 ,0.00 ,1 ,
106693739_3  ,106693739_3  ,1 ,0.42 ,30.00 ,14.53 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,30.00 ,14.53 ,0.00 ,1 ,
1100000_3    ,1100000_3    ,1 ,0.42 ,4.55  ,2.20  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,4.55  ,2.20  ,0.00 ,1 ,
535644227_7  ,535644227_7  ,1 ,0.42 ,19.38 ,9.39  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,19.38 ,9.39  ,0.00 ,1 ,
540123657_1  ,540123657_1  ,1 ,0.42 ,10.28 ,4.98  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,10.28 ,4.98  ,0.00 ,1 ,
542938089_9  ,542938089_9  ,1 ,0.42 ,29.82 ,14.44 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,29.82 ,14.44 ,0.00 ,1 ,
542938090_0  ,542938090_0  ,1 ,0.42 ,14.94 ,7.24  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,14.94 ,7.24  ,0.00 ,1 ,
542938094_3  ,542938094_3  ,1 ,0.42 ,7.50  ,3.63  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,7.50  ,3.63  ,0.00 ,1 ,
542938095_7  ,542938095_7  ,1 ,0.42 ,6.33  ,3.07  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,6.33  ,3.07  ,0.00 ,1 ,
542938096_7  ,542938096_7  ,1 ,0.42 ,15.04 ,7.28  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,15.04 ,7.28  ,0.00 ,1 ,
542938097_0  ,542938097_0  ,1 ,0.42 ,23.01 ,11.14 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,23.01 ,11.14 ,0.00 ,1 ,
542938099_2  ,542938099_2  ,1 ,0.42 ,20.56 ,9.96  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,20.56 ,9.96  ,0.00 ,1 ,
542938103_6  ,542938103_6  ,1 ,0.42 ,24.23 ,11.73 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,24.23 ,11.73 ,0.00 ,1 ,
12900000_2   ,12900000_2   ,3 ,0.42 ,38.74 ,18.76 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,38.74 ,18.76 ,0.00 ,1 ,
542938109_0  ,542938109_0  ,1 ,0.42 ,9.59  ,4.64  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,9.59  ,4.64  ,0.00 ,1 ,
542939242_3  ,542939242_3  ,1 ,0.42 ,24.22 ,11.73 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,24.22 ,11.73 ,0.00 ,1 ,
542939243_11 ,542939243_11 ,1 ,0.42 ,20.75 ,10.05 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,20.75 ,10.05 ,0.00 ,1 ,
548357126_0  ,548357126_0  ,1 ,0.42 ,10.10 ,4.89  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,10.10 ,4.89  ,0.00 ,1 ,
548398899_2  ,548398899_2  ,1 ,0.42 ,6.84  ,3.31  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,6.84  ,3.31  ,0.00 ,1 ,
548398908_7  ,548398908_7  ,1 ,0.42 ,15.99 ,7.75  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,15.99 ,7.75  ,0.00 ,1 ,
548398917_2  ,548398917_2  ,1 ,0.42 ,5.08  ,2.46  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,5.08  ,2.46  ,0.00 ,1 ,
548398924_1  ,548398924_1  ,1 ,0.42 ,8.53  ,4.13  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,8.53  ,4.13  ,0.00 ,1 ,
548398925_0  ,548398925_0  ,1 ,0.42 ,13.05 ,6.32  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,13.05 ,6.32  ,0.00 ,1 ,
548402417_4  ,548402417_4  ,1 ,0.42 ,5.52  ,2.67  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,5.52  ,2.67  ,0.00 ,1 ,
548402418_13 ,548402418_13 ,1 ,0.42 ,17.34 ,8.40  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,17.34 ,8.40  ,0.00 ,1 ,
548402826_2  ,548402826_2  ,1 ,0.42 ,12.88 ,6.24  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,12.88 ,6.24  ,0.00 ,1 ,
548402827_3  ,548402827_3  ,1 ,0.42 ,8.03  ,3.89  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,8.03  ,3.89  ,0.00 ,1 ,
548402829_3  ,548402829_3  ,1 ,0.42 ,9.17  ,4.44  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,9.17  ,4.44  ,0.00 ,1 ,
549934791_2  ,549934791_2  ,1 ,0.42 ,11.95 ,5.79  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,11.95 ,5.79  ,0.00 ,1 ,
542938089_9  ,549934793_0  ,1 ,0.42 ,9.48  ,4.59  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,9.48  ,4.59  ,0.00 ,1 ,
549934795_1  ,549934795_1  ,1 ,0.42 ,10.84 ,5.25  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,10.84 ,5.25  ,0.00 ,1 ,
549934805_2  ,549934805_2  ,1 ,0.42 ,20.01 ,9.69  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,20.01 ,9.69  ,0.00 ,1 ,
549989596_15 ,549989596_15 ,1 ,0.42 ,30.15 ,14.60 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,30.15 ,14.60 ,0.00 ,1 ,
549989599_4  ,549989599_4  ,1 ,0.42 ,7.07  ,3.42  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,7.07  ,3.42  ,0.00 ,1 ,
549989601_0  ,549989601_0  ,1 ,0.42 ,17.05 ,8.26  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,17.05 ,8.26  ,0.00 ,1 ,
549989606_8  ,549989606_8  ,1 ,0.42 ,22.49 ,10.89 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,22.49 ,10.89 ,0.00 ,1 ,
11600000_0   ,11600000_0   ,1 ,0.42 ,7.37  ,3.57  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,7.37  ,3.57  ,0.00 ,1 ,
548402826_2  ,12000000_1   ,1 ,0.42 ,29.02 ,14.05 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,29.02 ,14.05 ,0.00 ,1 ,
12100000_4   ,12100000_4   ,3 ,0.42 ,33.89 ,16.41 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,33.89 ,16.41 ,0.00 ,1 ,
12700000_2   ,12700000_2   ,1 ,0.42 ,5.25  ,2.54  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,5.25  ,2.54  ,0.00 ,1 ,
12200000_1   ,12200000_1   ,1 ,0.42 ,28.83 ,13.96 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,28.83 ,13.96 ,0.00 ,1 ,
12300000_5   ,12300000_5   ,1 ,0.42 ,7.46  ,3.61  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,7.46  ,3.61  ,0.00 ,1 ,
12400000_0   ,12400000_0   ,1 ,0.42 ,5.78  ,2.80  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,5.78  ,2.80  ,0.00 ,1 ,
12600000_24  ,12600000_24  ,1 ,0.42 ,30.75 ,14.89 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,30.75 ,14.89 ,0.00 ,1 ,
12_1         ,12_1         ,1 ,0.42 ,2.75  ,1.33  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,2.75  ,1.33  ,0.00 ,3 ,
14_2         ,14_2         ,1 ,0.42 ,1.95  ,0.95  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,1.95  ,0.95  ,0.00 ,1 ,
15_3         ,15_3         ,1 ,0.42 ,4.07  ,1.97  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,4.07  ,1.97  ,0.00 ,1 ,
16_4         ,16_4         ,1 ,0.42 ,1.17  ,0.57  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,1.17  ,0.57  ,0.00 ,1 ,
17_0         ,17_0         ,1 ,0.42 ,4.27  ,2.07  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,4.27  ,2.07  ,0.00 ,1 ,
18_2         ,18_2         ,1 ,0.42 ,1.00  ,0.49  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,1.00  ,0.49  ,0.00 ,1 ,
17_0         ,19_3         ,1 ,0.42 ,0.96  ,0.47  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,0.96  ,0.47  ,0.00 ,1 ,
20_5         ,20_5         ,1 ,0.42 ,8.42  ,4.08  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,8.42  ,4.08  ,0.00 ,8 ,
21_2         ,21_2         ,1 ,0.42 ,1.10  ,0.53  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,1.10  ,0.53  ,0.00 ,1 ,
22_2         ,22_2         ,1 ,0.42 ,0.93  ,0.45  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,0.93  ,0.45  ,0.00 ,1 ,
22_2         ,23_1         ,1 ,0.42 ,3.89  ,1.89  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,3.89  ,1.89  ,0.00 ,1 ,
24_3         ,24_3         ,1 ,0.42 ,2.83  ,1.37  ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,2.83  ,1.37  ,0.00 ,1 ,
