Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:106289642_1-DT0LV)                                   ,DT0LV                                          ,106289642_1  ,0.42  ,0.019 ,1P_UG_AL_2/0_Converse_0_120_0          ,0.00803 ,0.00521 ,0.38536  ,0.01137 ,0.04226 ,0.12678 ,270  ,1 ,A   ,A_LV   ,1_LV_90      ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106289641_0-DM0)                                     ,DM0                                            ,106289641_0  ,0.42  ,0.019 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00520 ,0.00501 ,0.44123  ,0.00863 ,0.04304 ,0.12913 ,350  ,1 ,A   ,A_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM0-DT0LV)                                           ,DT0LV                                          ,DM0          ,0.42  ,0.030 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00807 ,0.00778 ,0.68505  ,0.01340 ,0.06683 ,0.20048 ,350  ,1 ,A   ,A_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:48_1-DM2)                                            ,DM2                                            ,48_1         ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00682 ,0.00360 ,0.24548  ,0.00906 ,0.02840 ,0.08519 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM2-DT0LV)                                           ,DT0LV                                          ,DM2          ,0.42  ,0.045 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.02436 ,0.01285 ,0.87669  ,0.03236 ,0.10142 ,0.30426 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106289647_2-DM3)                                     ,DM3                                            ,106289647_2  ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00643 ,0.00339 ,0.23158  ,0.00855 ,0.02679 ,0.08037 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:548398908_7-DM3)                                     ,DM3                                            ,548398908_7  ,0.42  ,0.025 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.01361 ,0.00718 ,0.48982  ,0.01808 ,0.05666 ,0.16999 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106693723_0-DM4)                                     ,DM4                                            ,106693723_0  ,0.42  ,0.012 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00317 ,0.00306 ,0.26943  ,0.00527 ,0.02628 ,0.07885 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM3-DM4)                                             ,DM3                                            ,DM4          ,0.42  ,0.015 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00404 ,0.00389 ,0.34257  ,0.00670 ,0.03342 ,0.10025 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM3-DT1LV)                                           ,DT1LV                                          ,DM3          ,0.42  ,0.015 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00404 ,0.00389 ,0.34257  ,0.00670 ,0.03342 ,0.10025 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:542939242_3-DM5)                                     ,DM5                                            ,542939242_3  ,0.42  ,0.012 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00322 ,0.00310 ,0.27312  ,0.00534 ,0.02664 ,0.07993 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM5-DT1LV)                                           ,DT1LV                                          ,DM5          ,0.42  ,0.045 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.01211 ,0.01167 ,1.02772  ,0.02010 ,0.10025 ,0.30076 ,350  ,1 ,C   ,C_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:548402417_4-DT3LV)                                   ,DT3LV                                          ,548402417_4  ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00637 ,0.00336 ,0.22907  ,0.00845 ,0.02650 ,0.07950 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106297267_0-DM8)                                     ,DM8                                            ,106297267_0  ,0.42  ,0.031 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.01657 ,0.00874 ,0.59648  ,0.02201 ,0.06900 ,0.20701 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM8-DT3LV)                                           ,DT3LV                                          ,DM8          ,0.42  ,0.074 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.04014 ,0.02116 ,1.44444  ,0.05331 ,0.16710 ,0.50130 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:542938097_0-DM9)                                     ,DM9                                            ,542938097_0  ,0.42  ,0.011 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00580 ,0.00306 ,0.20872  ,0.00770 ,0.02415 ,0.07244 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:37_3-DM11)                                           ,DM11                                           ,37_3         ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00684 ,0.00361 ,0.24628  ,0.00909 ,0.02849 ,0.08547 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM11-DM9)                                            ,DM9                                            ,DM11         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00812 ,0.00428 ,0.29225  ,0.01079 ,0.03381 ,0.10142 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM9-DT3LV)                                           ,DT3LV                                          ,DM9          ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00812 ,0.00428 ,0.29225  ,0.01079 ,0.03381 ,0.10142 ,235  ,1 ,A   ,A_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106693710_1-DT4LV)                                   ,DT4LV                                          ,106693710_1  ,0.42  ,0.011 ,1P_UG_AL_2/0_Converse_0_120_0          ,0.00454 ,0.00295 ,0.21811  ,0.00644 ,0.02392 ,0.07176 ,270  ,1 ,B   ,B_LV   ,1_LV_90      ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:548402418_13-DT4LV)                                  ,DT4LV                                          ,548402418_13 ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00486 ,0.00256 ,0.17499  ,0.00646 ,0.02024 ,0.06073 ,235  ,1 ,B   ,B_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106693726_0-DM13)                                    ,DM13                                           ,106693726_0  ,0.42  ,0.011 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00581 ,0.00306 ,0.20899  ,0.00771 ,0.02418 ,0.07253 ,235  ,1 ,B   ,B_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM13-DT4LV)                                          ,DT4LV                                          ,DM13         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00812 ,0.00428 ,0.29227  ,0.01079 ,0.03381 ,0.10143 ,235  ,1 ,B   ,B_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106693739_3-DM14)                                    ,DM14                                           ,106693739_3  ,0.42  ,0.010 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00259 ,0.00250 ,0.22003  ,0.00430 ,0.02146 ,0.06439 ,350  ,1 ,B   ,B_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM14-DT4LV)                                          ,DT4LV                                          ,DM14         ,0.42  ,0.015 ,1P_UG_AL_4/0_Sweetbriar_0_120_0        ,0.00404 ,0.00389 ,0.34257  ,0.00670 ,0.03342 ,0.10025 ,350  ,1 ,B   ,B_LV   ,1_LV_116.667 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:106693735_3-DT5LV)                                   ,DT5LV                                          ,106693735_3  ,0.42  ,0.009 ,1P_UG_AL_2/0_Converse_0_120_0          ,0.00391 ,0.00254 ,0.18756  ,0.00554 ,0.02057 ,0.06171 ,270  ,1 ,B   ,B_LV   ,1_LV_90      ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:549989601_0-DT5LV)                                   ,DT5LV                                          ,549989601_0  ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00531 ,0.00280 ,0.19127  ,0.00706 ,0.02213 ,0.06638 ,235  ,1 ,B   ,B_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:12_1-DT5LV)                                          ,DT5LV                                          ,12_1         ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00653 ,0.00344 ,0.23487  ,0.00867 ,0.02717 ,0.08151 ,235  ,1 ,B   ,B_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:12600000_24-DM18)                                    ,DM18                                           ,12600000_24  ,0.42  ,0.010 ,1P_UG_AL_2/0_Converse_0_120_0          ,0.00443 ,0.00287 ,0.21251  ,0.00627 ,0.02330 ,0.06991 ,270  ,1 ,B   ,B_LV   ,1_LV_90      ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM18-DT5LV)                                          ,DT5LV                                          ,DM18         ,0.42  ,0.015 ,1P_UG_AL_2/0_Converse_0_120_0          ,0.00640 ,0.00415 ,0.30709  ,0.00906 ,0.03368 ,0.10103 ,270  ,1 ,B   ,B_LV   ,1_LV_90      ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:71_3-DM20)                                           ,DM20                                           ,71_3         ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00650 ,0.00343 ,0.23402  ,0.00864 ,0.02707 ,0.08122 ,235  ,1 ,B   ,B_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:DM20-DT5LV)                                          ,DT5LV                                          ,DM20         ,0.42  ,0.045 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.02436 ,0.01285 ,0.87674  ,0.03236 ,0.10142 ,0.30427 ,235  ,1 ,B   ,B_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT0  ,
L(R:56_3-DT6LV)                                          ,DT6LV                                          ,56_3         ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00660 ,0.00348 ,0.23755  ,0.00877 ,0.02748 ,0.08244 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:107_2-DT6LV)                                         ,DT6LV                                          ,107_2        ,0.42  ,0.011 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00613 ,0.00323 ,0.22072  ,0.00815 ,0.02553 ,0.07660 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:1100000_3-DM21)                                      ,DM21                                           ,1100000_3    ,0.42  ,0.026 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.01426 ,0.00752 ,0.51305  ,0.01894 ,0.05935 ,0.17805 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:55_3-DM21)                                           ,DM21                                           ,55_3         ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00666 ,0.00351 ,0.23979  ,0.00885 ,0.02774 ,0.08322 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:DM21-DT6LV)                                          ,DT6LV                                          ,DM21         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00812 ,0.00428 ,0.29227  ,0.01079 ,0.03381 ,0.10143 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:54_0-DM25)                                           ,DM25                                           ,54_0         ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00710 ,0.00374 ,0.25540  ,0.00943 ,0.02955 ,0.08864 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:118_0-DM25)                                          ,DM25                                           ,118_0        ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00740 ,0.00390 ,0.26628  ,0.00983 ,0.03080 ,0.09241 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:52_5-DM24)                                           ,DM24                                           ,52_5         ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00704 ,0.00371 ,0.25342  ,0.00935 ,0.02932 ,0.08795 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:51_1-DM23)                                           ,DM23                                           ,51_1         ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00568 ,0.00300 ,0.20451  ,0.00755 ,0.02366 ,0.07098 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:DM23-DM24)                                           ,DM24                                           ,DM23         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00812 ,0.00428 ,0.29227  ,0.01079 ,0.03381 ,0.10143 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:DM24-DM25)                                           ,DM25                                           ,DM24         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00812 ,0.00428 ,0.29227  ,0.01079 ,0.03381 ,0.10143 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:DM25-DT6LV)                                          ,DT6LV                                          ,DM25         ,0.42  ,0.030 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.01624 ,0.00856 ,0.58454  ,0.02157 ,0.06762 ,0.20287 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:61_3-DM30)                                           ,DM30                                           ,61_3         ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00657 ,0.00346 ,0.23628  ,0.00872 ,0.02733 ,0.08200 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:548398899_2-DM22)                                    ,DM22                                           ,548398899_2  ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00689 ,0.00363 ,0.24788  ,0.00915 ,0.02868 ,0.08603 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:59_0-DM22)                                           ,DM22                                           ,59_0         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00789 ,0.00416 ,0.28380  ,0.01047 ,0.03283 ,0.09849 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:58_3-DM28)                                           ,DM28                                           ,58_3         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00823 ,0.00434 ,0.29615  ,0.01093 ,0.03426 ,0.10278 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:65_1-DM28)                                           ,DM28                                           ,65_1         ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00696 ,0.00367 ,0.25053  ,0.00925 ,0.02898 ,0.08695 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:64_1-DM31)                                           ,DM31                                           ,64_1         ,0.42  ,0.028 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.01493 ,0.00787 ,0.53737  ,0.01983 ,0.06217 ,0.18650 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
L(R:DM28-DM31)                                           ,DM28                                           ,DM31         ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_120_0            ,0.00812 ,0.00428 ,0.29227  ,0.01079 ,0.03381 ,0.10143 ,235  ,1 ,C   ,C_LV   ,1_LV_78.3333 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 ,sub_6271173a-9d78-4b65-96e8-a680e4caea0e_12.47 -> DT19 ,
